iter	Passed	Remaining
257	697	2006
258	699	2002
259	702	1998
260	704	1994
261	706	1990
262	709	1987
263	711	1983
264	713	1980
265	716	1976
266	718	1973
267	720	1968
268	723	1965
269	725	1961
270	727	1957
271	730	1954
272	733	1952
273	735	1948
274	737	1944
275	739	1940
276	741	1936
277	744	1932
278	746	1929
279	749	1926
280	751	1922
281	753	1919
282	755	1915
283	758	1911
284	760	1907
285	762	1904
286	765	1900
287	767	1896
288	769	1892
289	771	1888
290	774	1886
291	776	1883
292	778	1879
293	781	1876
294	783	1872
295	785	1868
296	788	1865
297	790	1862
298	794	1863
299	798	1863
300	801	1860
301	803	1857
302	805	1853
303	808	1850
304	810	1846
305	812	1842
306	814	1838
307	816	1834
308	818	1831
309	821	1827
310	823	1824
311	825	1820
312	828	1817
313	830	1814
314	832	1811
315	836	1809
316	838	1807
317	840	1803
318	842	1799
319	845	1796
320	847	1793
321	850	1789
322	852	1786
323	854	1782
324	856	1779
325	859	1776
326	861	1773
327	864	1770
328	866	1766
329	868	1762
330	870	1758
331	872	1754
332	874	1751
333	876	1747
334	878	1744
335	880	1740
336	883	1737
337	885	1733
338	887	1730
339	890	1729
340	892	1725
341	895	1722
342	897	1719
343	899	1716
344	902	1712
345	904	1709
346	906	1706
347	908	1702
348	911	1699
349	913	1696
350	915	1693
351	918	1690
352	921	1688
353	924	1686
354	926	1683
355	928	1679
356	930	1676
357	932	1672
358	934	1669
359	937	1666
360	939	1662
361	941	1659
362	943	1656
363	946	1653
364	948	1650
365	951	1648
366	953	1645
367	955	1641
368	957	1637
369	960	1634
370	962	1631
371	964	1628
372	967	1625
373	970	1623
374	972	1620
375	974	1617
376	977	1614
377	979	1612
378	983	1611
379	987	1611
380	989	1608
381	992	1605
382	994	1601
383	996	1598
384	999	1596
385	1001	1593
386	1003	1589
387	1005	1586
388	1008	1583
389	1010	1580
390	1012	1576
391	1014	1574
392	1017	1571
393	1019	1568
394	1022	1565
395	1024	1562
396	1026	1559
397	1030	1558
398	1032	1555
399	1034	1552
400	1037	1549
401	1039	1546
402	1042	1544
403	1044	1541
404	1047	1539
405	1050	1537
406	1052	1534
407	1055	1531
408	1057	1528
409	1060	1525
410	1062	1523
411	1065	1520
412	1067	1517
413	1069	1514
414	1071	1511
415	1074	1507
416	1076	1504
417	1078	1501
418	1081	1499
419	1083	1496
420	1086	1494
421	1088	1491
422	1090	1488
423	1093	1485
424	1095	1482
425	1098	1479
426	1100	1477
427	1103	1474
428	1105	1471
429	1107	1468
430	1110	1465
431	1112	1462
432	1115	1460
433	1117	1457
434	1119	1454
435	1121	1451
436	1124	1448
437	1126	1445
438	1128	1442
439	1130	1439
440	1132	1435
441	1134	1432
442	1137	1429
443	1139	1427
444	1141	1423
445	1144	1421
446	1146	1418
447	1149	1415
448	1151	1413
449	1153	1410
450	1156	1407
451	1158	1404
452	1161	1402
453	1163	1399
454	1165	1396
455	1168	1393
456	1170	1390
457	1172	1387
458	1175	1385
459	1178	1383
460	1182	1382
461	1184	1379
462	1187	1377
463	1191	1375
464	1193	1373
465	1195	1370
466	1197	1366
467	1199	1363
468	1201	1360
469	1204	1358
470	1207	1355
471	1209	1353
472	1212	1350
473	1214	1347
474	1216	1344
475	1218	1341
476	1221	1338
477	1223	1336
478	1225	1333
479	1228	1330
480	1230	1327
481	1232	1324
482	1234	1321
483	1237	1318
484	1239	1316
485	1241	1313
486	1244	1310
487	1246	1307
488	1248	1304
489	1251	1302
490	1253	1299
491	1254	1295
492	1257	1293
493	1259	1290
494	1261	1287
495	1264	1284
496	1266	1281
497	1268	1278
498	1271	1276
499	1273	1273
500	1276	1271
501	1278	1268
502	1280	1265
503	1283	1262
504	1284	1259
505	1287	1256
506	1290	1254
507	1292	1251
508	1294	1249
509	1297	1246
510	1300	1244
511	1302	1241
512	1305	1239
513	1307	1236
514	1310	1233
515	1312	1231
516	1314	1228
517	1317	1225
518	1319	1222
519	1321	1219
520	1324	1217
521	1326	1214
522	1328	1211
523	1329	1207
524	1331	1204
525	1333	1201
526	1335	1198
527	1337	1196
528	1339	1193
529	1342	1190
530	1344	1187
531	1346	1184
532	1348	1181
533	1351	1179
534	1354	1176
535	1356	1174
536	1358	1171
537	1360	1168
538	1363	1166
539	1366	1164
540	1370	1162
541	1372	1160
542	1375	1157
543	1377	1154
544	1379	1152
545	1382	1149
546	1383	1146
547	1386	1143
548	1388	1140
549	1391	1138
550	1392	1135
551	1395	1132
552	1397	1129
553	1400	1127
554	1402	1124
555	1404	1121
556	1407	1119
557	1409	1116
558	1411	1113
559	1413	1110
560	1416	1108
561	1418	1105
562	1420	1102
563	1421	1099
564	1423	1096
565	1426	1094
566	1430	1092
567	1432	1089
568	1434	1086
569	1436	1083
570	1438	1080
571	1440	1078
572	1443	1075
573	1445	1072
574	1447	1069
575	1449	1067
576	1451	1064
577	1453	1061
578	1455	1058
579	1457	1055
580	1460	1053
581	1462	1050
582	1464	1047
583	1467	1044
584	1469	1042
585	1471	1039
586	1473	1037
587	1476	1034
588	1478	1031
589	1481	1029
590	1483	1026
591	1485	1023
592	1487	1021
593	1490	1018
594	1493	1016
595	1495	1013
596	1498	1011
597	1500	1008
598	1502	1005
599	1504	1002
600	1506	1000
601	1508	997
602	1510	994
603	1513	992
604	1515	989
605	1517	986
606	1519	983
607	1521	981
608	1525	979
609	1527	976
610	1529	973
611	1531	970
612	1533	967
613	1535	965
614	1537	962
615	1539	959
616	1542	957
617	1545	955
618	1547	952
619	1549	949
620	1551	947
621	1554	944
622	1556	942
623	1560	940
624	1563	937
625	1564	934
626	1567	932
627	1569	929
628	1571	927
629	1573	924
630	1576	921
631	1578	919
632	1580	916
633	1582	913
634	1584	910
635	1586	908
636	1589	905
637	1591	902
638	1593	900
639	1595	897
640	1598	895
641	1600	892
642	1602	889
643	1604	887
644	1606	884
645	1608	881
646	1611	879
647	1613	876
648	1615	873
649	1618	871
650	1620	868
651	1623	866
652	1625	863
653	1627	861
654	1629	858
655	1631	855
656	1634	853
657	1636	850
658	1638	847
659	1640	845
660	1642	842
661	1644	839
662	1645	836
663	1647	833
664	1649	831
665	1652	828
666	1654	825
667	1656	823
668	1657	820
669	1659	817
670	1661	814
671	1663	812
672	1665	809
673	1667	806
674	1669	803
675	1671	801
676	1674	798
677	1676	796
678	1678	793
679	1681	791
680	1683	788
681	1686	786
682	1689	784
683	1692	781
684	1694	779
685	1696	776
686	1698	773
687	1700	771
688	1702	768
689	1704	765
690	1706	763
691	1708	760
692	1710	757
693	1712	755
694	1715	752
695	1718	750
696	1720	747
697	1722	745
698	1724	742
699	1726	740
700	1728	737
701	1730	734
702	1732	731
703	1734	729
704	1737	726
705	1739	724
706	1741	721
707	1743	719
708	1746	716
709	1748	714
710	1750	711
711	1752	708
712	1754	706
713	1756	703
714	1758	700
715	1759	698
716	1761	695
717	1763	692
718	1765	690
719	1767	687
720	1769	684
721	1771	681
722	1773	679
723	1775	676
724	1777	674
725	1779	671
726	1781	668
727	1782	666
728	1784	663
729	1786	660
730	1789	658
731	1791	655
732	1793	653
733	1796	650
734	1797	648
735	1800	645
736	1802	643
737	1804	640
738	1806	637
739	1808	635
740	1811	632
741	1812	630
742	1814	627
743	1816	625
744	1818	622
745	1819	619
746	1821	617
747	1823	614
748	1826	611
749	1828	609
750	1830	606
751	1832	604
752	1834	601
753	1836	599
754	1839	596
755	1841	594
756	1843	591
757	1845	589
758	1847	586
759	1848	583
760	1851	581
761	1853	578
762	1854	576
763	1857	573
764	1859	571
765	1860	568
766	1862	565
767	1864	563
768	1866	560
769	1870	558
770	1873	556
771	1875	553
772	1877	551
773	1879	548
774	1881	546
775	1883	543
776	1885	541
777	1886	538
778	1888	535
779	1891	533
780	1892	530
781	1894	528
782	1896	525
783	1898	522
784	1900	520
785	1902	517
786	1904	515
787	1905	512
788	1907	510
789	1909	507
790	1911	505
791	1913	502
792	1915	500
793	1917	497
794	1919	494
795	1921	492
796	1923	489
797	1925	487
798	1926	484
799	1928	482
800	1930	479
801	1932	477
802	1935	474
803	1937	472
804	1939	469
805	1940	467
806	1943	464
807	1945	462
808	1947	459
809	1949	457
810	1951	454
811	1954	452
812	1956	449
813	1958	447
814	1959	444
815	1961	442
816	1963	439
817	1965	437
818	1967	434
819	1969	432
820	1971	429
821	1972	427
822	1974	424
823	1976	422
824	1978	419
825	1980	417
826	1982	414
827	1984	412
828	1986	409
829	1988	407
830	1990	404
831	1992	402
832	1994	399
833	1997	397
834	1999	395
835	2001	392
836	2003	390
837	2005	387
838	2007	385
839	2009	382
840	2010	380
841	2012	377
842	2014	375
843	2016	372
844	2018	370
845	2019	367
846	2021	365
847	2023	362
848	2025	360
849	2027	357
850	2029	355
851	2031	352
852	2033	350
853	2035	347
854	2037	345
855	2038	343
856	2040	340
857	2042	338
858	2044	335
859	2046	333
860	2047	330
861	2050	328
862	2052	325
863	2055	323
864	2058	321
865	2060	318
866	2063	316
867	2064	314
868	2066	311
869	2068	309
870	2070	306
871	2072	304
872	2073	301
873	2075	299
874	2077	296
875	2079	294
876	2081	291
877	2082	289
878	2084	286
879	2086	284
880	2088	282
881	2090	279
882	2091	277
883	2093	274
884	2095	272
885	2097	269
886	2099	267
887	2101	265
888	2103	262
889	2104	260
890	2106	257
891	2108	255
892	2110	252
893	2112	250
894	2114	248
895	2116	245
896	2118	243
897	2120	240
898	2123	238
899	2125	236
900	2127	233
901	2129	231
902	2131	228
903	2132	226
904	2134	224
905	2136	221
906	2138	219
907	2140	216
908	2142	214
909	2144	212
910	2146	209
911	2148	207
912	2149	204
913	2151	202
914	2153	200
915	2155	197
916	2157	195
917	2159	192
918	2161	190
919	2163	188
920	2165	185
921	2166	183
922	2169	180
923	2170	178
924	2172	176
925	2174	173
926	2176	171
927	2178	169
928	2180	166
929	2182	164
930	2184	161
931	2186	159
932	2188	157
933	2190	154
934	2192	152
935	2194	150
936	2195	147
937	2198	145
938	2199	142
939	2201	140
940	2204	138
941	2205	135
942	2207	133
943	2209	131
944	2211	128
945	2213	126
946	2214	123
947	2216	121
948	2218	119
949	2220	116
950	2222	114
951	2224	112
952	2226	109
953	2228	107
954	2230	105
955	2232	102
956	2234	100
957	2236	98
958	2238	95
959	2239	93
960	2241	90
961	2243	88
962	2245	86
963	2247	83
964	2249	81
965	2251	79
966	2252	76
967	2255	74
968	2257	72
969	2259	69
970	2261	67
971	2263	65
972	2265	62
973	2267	60
974	2269	58
975	2271	55
976	2273	53
977	2275	51
978	2277	48
979	2279	46
980	2280	44
981	2282	41
982	2284	39
983	2286	37
984	2289	34
985	2291	32
986	2293	30
987	2295	27
988	2297	25
989	2300	23
990	2302	20
991	2304	18
992	2306	16
993	2308	13
994	2310	11
995	2312	9
996	2314	6
997	2316	4
998	2318	2
999	2321	0
